"Quarter","Belgium","Flemish region","Walloon region","Brussels Capital region"
"2011Q1","3,9%","4,3%","2,7%","3,3%"
"2011Q2","3,7%","3,8%","3,2%","3,9%"
"2011Q3","3,3%","3,0%","3,0%","4,6%"
"2011Q4","3,2%","3,1%","2,8%","4,4%"
"2012Q1","3,3%","3,2%","2,1%","5,4%"
"2012Q2","2,7%","2,7%","1,2%","5,0%"
"2012Q3","1,9%","2,1%","1,0%","2,1%"
"2012Q4","2,0%","1,9%","1,3%","3,3%"
"2013Q1","1,3%","1,4%","0,2%","2,0%"
"2013Q2","1,2%","1,3%","0,4%","1,8%"
"2013Q3","1,3%","1,1%","1,0%","2,1%"
"2013Q4","0,2%","0,9%","-2,3%","0,2%"
"2014Q1","-0,2%","-0,3%","1,0%","-1,3%"
"2014Q2","-0,3%","0,1%","-1,2%","-1,1%"
"2014Q3","-0,6%","-0,2%","-1,0%","-1,3%"
"2014Q4","1,2%","1,2%","2,4%","0,0%"
"2015Q1","0,2%","0,2%","1,0%","-0,1%"
"2015Q2","1,2%","1,4%","1,8%","-0,7%"
"2015Q3","2,1%","2,4%","1,7%","1,4%"
"2015Q4","1,3%","1,2%","2,4%","0,7%"
"2016Q1","1,8%","2,4%","1,3%","0,1%"
"2016Q2","1,8%","1,8%","2,3%","1,7%"
"2016Q3","2,0%","2,2%","2,3%","0,7%"
"2016Q4","2,7%","2,8%","2,3%","3,1%"
"2017Q1","3,8%","4,0%","3,5%","3,6%"
"2017Q2","3,2%","2,8%","2,5%","5,2%"
"2017Q3","3,9%","2,7%","2,7%","9,7%"
"2017Q4","2,7%","1,8%","1,6%","7,4%"
"2018Q1","3,2%","2,1%","3,3%","7,5%"
"2018Q2","3,5%","3,0%","2,0%","7,2%"
"2018Q3","2,3%","2,5%","1,3%","2,7%"
"2018Q4","3,2%","2,7%","3,4%","4,6%"
"2019Q1","3,3%","3,0%","2,6%","5,3%"
"2019Q2","3,6%","3,3%","3,8%","4,2%"
"2019Q3","4,5%","4,1%","4,4%","6,2%"
"2019Q4","4,4%","4,8%","3,1%","4,8%"
"2020Q1","3,4%","2,4%","3,6%","8,0%"
"2020Q2","4,1%","3,6%","3,1%","8,0%"
"2020Q3","4,0%","3,9%","3,0%","5,8%"
"2020Q4","5,5%","5,3%","4,3%","7,8%"
"2021Q1","6,6%","7,6%","3,3%","6,0%"
"2021Q2","7,4%","7,8%","6,7%","6,1%"
"2021Q3","7,3%","7,3%","7,0%","7,6%"
"2021Q4","6,0%","5,9%","6,0%","6,6%"
"2022Q1","6,5%","6,8%","6,3%","4,9%"
"2022Q2","5,5%","5,9%","5,1%","4,5%"
"2022Q3","5,8%","6,2%","5,0%","5,0%"
"2022Q4","4,5%","4,9%","3,8%","3,1%"
"2023Q1","4,0%","4,3%","3,5%","2,7%"
"2023Q2","2,2%","2,2%","2,4%","1,4%"
"2023Q3","0,7%","0,9%","0,2%","-0,1%"
"2023Q4","2,7%","3,2%","2,1%","1,2%"
"2024Q1","2,1%","2,6%","0,8%","1,4%"
"2024Q2","2,5%","3,3%","0,3%","1,0%"
"2024Q3","3,2%","3,6%","3,0%","1,4%"
